€250,000 	 22 Palace Fields, Tuam, Galway
€50,000 	 Rocks Road, Ballinahalla, Moycullen, Galway
€260,000 	 8 Popular Drive, Moylough, Ballinasloe, Co. Galway, H53 RT22
€200,000 	 120 Coillte Mhuirlinne, Ballybane,   Galway City
AMV €15,000 	 Tanwanagh West, Dooras, Kinvara, Galway
€240,000 	 Fionn Glas Lodge, Carrowmore, Loughrea, Co. Galway, H62 KR22
€250,000 	 3 Tirellan Heights, Headford Road, Galway
€205,000 	 Apartment 4, Garrai Coirce, Clybaun Road, Knocknacarra, Galway
€475,000 	 Drom East, Rahoon,   Galway City
€135,000 	 4 Abbey Court, Portumna, Co. Galway, H53 HR88
€575,000 	 Boleybeg East, Barna, Co. Galway
€225,000 	 Aughrim, Ballinasloe, Co. Galway, H53YR52
€150,000 	 10 Coscarrig Crescent, Loughrea, Galway
€295,000 	 Cooloo, Moylough, Galway
€290,000 	 Dublin Road, Breanra, Dunmore, Co. Galway, H54 XT99
€250,000 	 51 Wellpark Grove, Wellpark, Galway City
€395,000 	 6 AN LEAC LIAN, Barna, Galway
€425,000 	 `CLOGHANE` BIRCHALL, Oughterard, Co. Galway
AMV €180,000 	 5 Tirellan Heights, Headford Road, Galway City, Galway
AMV €195,000 	 6 Tirellan Heights, Headford Road, Galway City, Galway
